C3降低,C3降低、C3、肝病科、肾病、肝炎肝病、风湿疾病、免疫功能
动脉硬化,动脉硬化、动脉粥样硬化、心血管内科、心胸外科、高血压、心绞痛、猝死、神经衰弱、头晕、胸痛、头痛、心音异常、心脏杂音、实验室、血液流变学、多普勒超声、血管内超声和血管镜则、动脉硬化检测
包茎,包茎、男性生殖、男科、泌尿外科、包皮龟头炎、包皮粘连、包皮结石、包皮嵌顿、包皮龟头坏死、包皮粘连、男性
化脓性皮肤病,化脓性皮肤病、皮肤、皮肤科、皮肤瘙痒、皮肤搔痒、皮肤潮红肿胀、股部内侧靠近阴囊处的皮疹、蔷薇疹样皮疹、划痕试验或皮贡试验
十二指肠溃疡,十二指肠溃疡、腹部、肠、消化内科、胃肠外科、消化道出血、消化性溃疡、上消化道出血、幽门螺杆菌感染、上腹部疼痛、溃疡疼痛、幽门螺杆菌感染的、血清胃泌素
单侧肾缺如,单侧肾缺如、腰部、肾、单侧肾、男科、泌尿外科、孤立肾
单核细胞值增高,单核细胞值增高、MONO、血液科、血液病
单纯疱疹I型IGG阳性,单纯疱疹I型IGG阳性、单纯性疱疹病毒、HSV、感染科、皮肤科、性病
单纯疱疹I型IGM阳性,单纯疱疹I型IGM阳性、IGM、HSV、感染科、皮肤科
单纯疱疹Ⅱ型IGG阳性,单纯疱疹Ⅱ型IGG阳性、单纯性疱疹病毒、HSV、感染科、皮肤科、性病
单纯疱疹Ⅱ型IGM阳性,单纯疱疹Ⅱ型IGM阳性、血清梅毒螺旋体抗体IgM、IgM、皮肤科、性病科、传染科、性病
卵巢占位性病变,卵巢占位性病变、女性生殖、卵巢、妇科、生殖科
卵巢囊肿,卵巢囊肿、女性生殖、卵巢、妇科、卵巢癌、卵巢肿瘤、下腹坠胀、下腹部包块、下腹疼痛、下腹坠痛、恶病质、腹腔镜、放射学诊断、腹部平片
卵巢增大,卵巢增大、女性生殖、卵巢、妇科、生殖科
卵巢畸胎瘤,卵巢畸胎瘤、女性生殖、卵巢、妇科、肿瘤科
双子宫,双子宫、女性生殖、子宫、妇产科
变色牙,变色牙、头部、口、牙科
口炎,口炎、头部、口、口腔炎、口腔科、口咽部水疱状损害、口腔粘膜有形似奶块的斑膜、流口水、口粘
口疮,口疮、头部、口、口疮、飞滋、口炎疮、复发性口疮、复发性阿弗他溃疡、口腔科、口腔血泡、复合性溃疡、口腔粘膜弥漫充血、口舌生疮、口腔内窥镜、唾液溶菌酶
口腔囊肿,口腔囊肿、头部、口、口腔颌面部囊肿、口腔科
口腔黏膜疾病,口腔黏膜疾病、头部、口、口腔科、鼻疽、疱疹性咽峡炎、创伤性口炎、变应性口炎、锌中毒
口角炎,口角炎、头部、口、传染性口角炎、口角唇炎、马嚼子疮、口腔科、哮喘、过敏、口唇干燥、口唇渗液、口角向外的放射性皱纹、烂嘴角、黏膜损害、血常规
右位心,右位心、胸部、心脏、心外科、镜像右位心不伴其他的心血管畸形、右旋心常合并其他心血管畸形、右移心常有肺不张、张力性气胸、胸腔积液
右室增大,右室增大、胸部、心脏、心外科
叶酸降低,叶酸降低、产科、血液病、维生素、氨基酸与血药浓度
同型半胱氨酸增高,同型半胱氨酸增高、血液科、维生素、氨基酸与血药浓度
听力减退,听力减退、头部、耳、耳鼻喉科、中耳炎、复发性多发性软骨炎伴发的葡萄膜炎、寰椎沟环畸形、噪声病、囊虫病
呼吸音减弱,呼吸音减弱、胸部、肺、呼吸内科、急性细支气管炎、单侧肺气肿、小儿气胸、小儿肺泡性蛋白沉积症、膈下脓肿
呼吸音增强,呼吸音增强、胸部、肺、呼吸内科、气管炎、支气管肺炎、锌中毒、慢性肺炎、肺气肿
呼吸音异常,呼吸音异常、胸部、肺、呼吸内科、气管炎、支气管肺炎、锌中毒、慢性肺炎、肺气肿
哺乳期乳腺,哺乳期乳腺、胸部、乳腺、妇科
唇炎,唇炎、头部、口、唇炎、糜烂型唇炎、干燥脱屑型唇、腺型唇炎、肉芽肿性唇炎、口腔科、肉芽肿性唇炎、下唇微痒增大如蚕茧硬结、口唇皲裂、唇外翻、唇干裂、免疫病理
唇裂,唇裂、头部、口、兔唇、口腔科、巨口、吞咽困难、嘴角降肌发育不良、儿童五官科、颞下颌关节造影
喉炎,喉炎、头部、咽喉、耳鼻喉科、呼吸内科、慢性呼吸衰竭、急性呼吸衰竭、声音嘶哑、声音变低、粘膜充血、水肿、粘膜萎缩
嗅觉障碍,嗅觉障碍、头部、鼻、嗅觉减退、神经内科、耳鼻喉科、嗅觉过敏、嗅觉倒错、嗅觉丧失
嗜碱性比率增高,嗜碱性比率增高、血液内科、过敏性疾病、血液病、肿瘤
嗜碱性粒细胞计数增高,嗜碱性粒细胞计数增高、Ｂ、血液内科、嗜碱性粒细胞白血病、慢性粒细胞性白血病、真性红细胞增多症、血液病、甲状腺功能
嗜酸性粒细胞比率增高,嗜酸性粒细胞比率增高、血液内科、变态反应性疾病、寄生虫感染、皮肤病、白血病
嗜酸性粒细胞比率降低,嗜酸性粒细胞比率降低、血液内科
嗜酸性粒细胞计数增高,嗜酸性粒细胞计数增高、血液内科
嗜酸性粒细胞计数降低,嗜酸性粒细胞计数降低、血液内科
回奶期乳腺,回奶期乳腺、胸部、乳腺、妇科
垂体泌乳素增高,垂体泌乳素增高、PRL、内分泌科、月经不调、溢乳、骨质减少
垂体泌乳素降低,垂体泌乳素降低、PRL、内分泌科
基底动脉血流速度不对称,基底动脉血流速度不对称、神经内科
基底动脉血流速度减慢,基底动脉血流速度减慢、神经内科
声带息肉,声带息肉、颈部、咽喉、鸭公喉、耳鼻喉科、五官科、慢性喉炎、失音、声音嘶哑、声音异常、喉鸣声、呼吸困难、喉镜
声音嘶哑,声音嘶哑、颈部、咽喉、声嘶、耳鼻喉科、喉疮、儿童尖锐湿疣、肺咳、喉炎、慢性鼻咽炎、吞咽试验、耳、鼻、咽拭子细菌培养、血清降钙素
外耳道疖肿,外耳道疖肿、头部、耳、局限性外耳道炎、耳鼻喉科、中医科、疖肿堵塞外耳道时听力减退、放射性疼痛、听力减退、血性耳分泌物、耳镜法、外耳、血常规
外耳道真菌病,外耳道真菌病、头部、耳、外耳道真菌感染、外耳道真菌病、耳鼻喉科、五官科、真菌感染、耳痛、耳流脓
外阴湿疹,外阴湿疹、女性生殖、外阴、外阴湿疹病、妇科、皮肤科、阴道炎、慢性湿疹样变、会阴溃疡、腹股沟淋巴结肿大、发烧、阴道妇科常规、外阴部妇科常规、皮肤斑贴实验
外阴白斑,外阴白斑、女性生殖、外阴、外阴白色病损、外阴白斑、外阴营养不良、外阴皮肤肿胀、外阴萎缩、外阴白斑、黏膜白斑、宫颈白斑、围绝经期前后的外阴白色病变、老年性外阴萎缩、外阴白斑病
多发性硬化,多发性硬化、头部、颅脑、多发性硬化症、轴周性硬化性脑炎、神经内科、风湿科、褥疮、尿路感染、四肢无力、四肢麻木、肢体疼痛、视物模糊、平衡功能障碍、脑脊液一般性状、脑脊液-化学-蛋白质、颅脑MRI
多囊卵巢综合征,多囊卵巢综合征、女性生殖、卵巢、硬化性囊性卵巢综合征、Rokitansky瘤、妇科、外阴肿瘤、卵巢肿瘤、月经稀少、女性不孕、卵巢性多毛、卵巢性闭经、HCG、性激素6项、地塞米松抑制试验
多囊肝,多囊肝、腹部、肝、非寄生虫性肝囊肿、消化内科、肝大、肝脏的多发性弥漫损害、放射性核素扫描
多囊肾,多囊肾、腰部、肾、囊胞肾、肾脏良性多房性囊瘤、Potter(Ⅰ)综合征、Perlmann综合征、先天性肾囊肿瘤病、肾内科、泌尿外科、肾结石、其他器官多发性囊肿、脑底动脉环血管瘤、高血压或反复尿路感染等并发症、双侧肾内痛、血压高、慢性肾功能不全、尿常规、尿渗透压、血肌酐、KUB平片、IVP
多囊脾,多囊脾、腹部、脾、脾胃科、内科
大便潜血,大便潜血、腹部、肠、便隐血、内科、消化内科
天门冬氨酸氨基转移酶增高,天门冬氨酸氨基转移酶增高、体检保健科、肾病、维生素、氨基酸与血药浓度
头颅血肿,头颅血肿、头部、颅脑、脑外科、儿科、新生儿失血性贫血、休克、分流性高胆红素血症综合征
始基子宫,始基子宫、女性生殖、子宫、妇科、子宫性不孕、不孕症、软产道异常性难产
子宫内膜增厚,子宫内膜增厚、女性生殖、子宫、子宫内膜增生症、妇科
子宫内膜异位,子宫内膜异位、女性生殖、子宫、子宫内膜异位症、子宫内膜组织异位、妇科
子宫内膜息肉,子宫内膜息肉、女性生殖、子宫、妇科、贫血、不孕症、子宫出血、息肉、阴道出血、白带增多、阴道不规则出血、血常规、白带常规、肿瘤标志物检测
子宫内膜钙化,子宫内膜钙化、女性生殖、子宫、妇科、生殖科
子宫占位性病变,子宫占位性病变、女性生殖、子宫、妇科、生殖科
子宫囊肿,子宫囊肿、女性生殖、子宫、子宫良性肿瘤 纤维肌瘤 子宫纤维瘤、妇科、肿瘤科、盆腔炎、卵巢囊肿、绝经、子宫出血、白带增多、腹部肿块、一侧下腹坠痛、无宫缩间歇、探测宫腔、子宫输卵管造影、诊断性刮宫与MRI
子宫纵隔,子宫纵隔、女性生殖、子宫、妇产科、流产、早产、臀位、胎膜早破、前置胎盘、产后异常出血
子宫肌瘤,子宫肌瘤、女性生殖、子宫、子宫良性肿瘤、纤维肌瘤、子宫纤维瘤、妇科、肿瘤科、盆腔炎、卵巢囊肿、绝经、卵巢肿瘤、子宫出血、白带增多、腹部肿块、一侧下腹坠痛、无宫缩间歇、探测宫腔、子宫输卵管造影、诊断性刮宫与MRI
子宫肥大,子宫肥大、女性生殖、子宫、子宫肥大症、妇科、宫颈糜烂、贫血貌、月经周期改变、白带增多、子宫出血、子宫增大明显（子宫增大超过胎龄）、盆腔和阴道刮宫
子宫脱垂,子宫脱垂、女性生殖、子宫、子宫脱出、妇科、生殖健康、子宫脱垂、流产、卵巢早衰、子宫性不孕、软产道异常性难产、腰骶部酸痛、白带增多、带血性分泌物、阴道窥器
子宫腺肌症,子宫腺肌症、女性生殖、子宫、妇科、生殖健康
子宫萎缩,子宫萎缩、女性生殖、子宫、妇科、生殖科
孕酮增高,孕酮增高、妇科、体检保健科、妇科疾病
孕酮降低,孕酮降低、妇科、体检保健科、妇科疾病
室壁瘤,室壁瘤、胸部、心脏、肿瘤科、脉压差低、心悸、左心衰竭、心率过缓、反向搏动
室间隔增厚,室间隔增厚、胸部、心脏、心内科
室间隔缺损,室间隔缺损、胸部、心脏、室间隔缺损、心胸外科、心血管内科、感染性心内膜炎、主动脉瓣关闭不全、咳嗽、心悸、心脏震颤、室间隔缺损、气急、心电图心动图、胸部X线、右心导管、心血管造影
宫内妊娠,宫内妊娠、女性生殖、子宫、怀孕、妇产科、频繁排尿、疲劳、阴道出血、对食物反感
宫内异常回声,宫内异常回声、女性生殖、子宫、妇科、生殖科
宫内节育器位置异常,宫内节育器位置异常、女性生殖、子宫、妇科、生殖科
宫腔积液,宫腔积液、女性生殖、子宫、妇科、子宫颈平滑肌瘤
宫颈充血,宫颈充血、女性生殖、子宫、妇科、宫颈充血、水肿、颈管粘膜外翻、宫颈管内常有大量脓性分泌物外溢
宫颈刮片巴式Ⅱ级,宫颈刮片巴式Ⅱ级、女性生殖、子宫、妇科
宫颈刮片巴式Ⅲ级,宫颈刮片巴式Ⅲ级、女性生殖、子宫、妇科
宫颈刮片巴式Ⅳ级,宫颈刮片巴式Ⅳ级、女性生殖、子宫、妇科
宫颈刮片巴式Ⅴ级,宫颈刮片巴式Ⅴ级、女性生殖、子宫、妇科
宫颈息肉,宫颈息肉、女性生殖、子宫、子宫颈息肉、妇科、癌变、妇科、病理、阴道镜
宫颈接触性出血,宫颈接触性出血、女性生殖、子宫、妇科
宫颈旧裂,宫颈旧裂、女性生殖、子宫、宫颈陈旧性裂伤、妇科、白带增多或性交出血、腰骶酸痛、习惯性流产、妇科
宫颈炎症,宫颈炎症、女性生殖、子宫、宫颈炎症、妇科、阿米巴性宫颈炎、结核性宫颈炎、急性宫颈炎、慢性宫颈炎、白带增多、脓血性白带、阴道分泌物增多、阴道血性分泌物、阴道脓性分泌物、妇科、宫颈刮片细胞学、阴道镜、碘试验和肉眼、宫颈活体组织的病理
宫颈畸形,宫颈畸形、女性生殖、子宫、妇科、白带常规、阴道、宫颈、乳腺
宫颈糜烂,宫颈糜烂、女性生殖、子宫、宫颈柱状上皮异位、子宫糜烂、妇科、妇科、宫颈刮片细胞学、阴道镜
宫颈纳氏囊肿,宫颈纳氏囊肿、女性生殖、子宫、宫颈腺囊肿、妇科
宫颈肌瘤,宫颈肌瘤、女性生殖、子宫、肿瘤科、妇科、阴道分泌物增多、阴道出血、脓血性白带、腹部肿块、尿频
宫颈肥大,宫颈肥大、女性生殖、子宫、妇科、子宫颈肉瘤、宫颈上皮内瘤变、宫颈、妇科炎症、阴道镜、阴道活检、子宫颈涂片测试
宫颈赘生物,宫颈赘生物、女性生殖、子宫、子宫颈癌、五色带、肿瘤科、妇科、流产
小气道功能受损,小气道功能受损、胸部、肺、呼吸内科
尖瓣关闭不全,尖瓣关闭不全、胸部、心脏、心内科、心外科、乏力、心悸、胸痛、劳力性呼吸困难、端坐呼吸
尿ACR测定阳性,尿ACR测定阳性、腰部、尿液输尿管、血Cr、Cr、肾内科、肾病
尿亚硝酸盐阳性,尿亚硝酸盐阳性、腰部、尿液输尿管、尿NIT、NIT、肾内科、肾病
尿微量白蛋白增高,尿微量白蛋白增高、腰部、尿液输尿管、尿微量清蛋白、mA1B、肾内科、糖尿病、高血压、肾病
尿比重增高,尿比重增高、腰部、肾、尿比密、SG、肾内科、肾病
尿比重降低,尿比重降低、腰部、尿液输尿管、尿比密、SG、肾内科、肾病
尿白细胞增高,尿白细胞增高、腰部、尿液输尿管、肾内科、尿路感染、膀胱炎、肾盂肾炎、尿路梗阻、肾病
尿素氮增高,尿素氮增高、腰部、尿液输尿管、肾内科、小儿烧伤、低渗性脱水、毒蕈中毒、肾病
尿素氮降低,尿素氮降低、腰部、尿液输尿管、肾内科、肾病
尿红细胞镜检增高,尿红细胞镜检增高、腰部、尿液输尿管、肾内科、肾病
尿胆原阳性,尿胆原阳性、腰部、尿液输尿管、URO、肾内科、妇科、肝炎肝病、血液病
尿胆红素阳性,尿胆红素阳性、腰部、尿液输尿管、尿BIL、BIL、肾内科、体检保健科、急诊科、肝炎肝病、血液病
尿葡萄糖,尿葡萄糖、腰部、尿液输尿管、内分泌科、肾内科、肾性糖尿、糖尿病肾病、库欣综合征、糖尿病、尿葡萄糖、尿果糖、尿氯
尿蛋白质阳性,尿蛋白质阳性、腰部、尿液输尿管、肾内科
尿酮体阳性,尿酮体阳性、腰部、尿液输尿管、尿KET、KET、肾内科、糖尿病
尿酸碱度增高,尿酸碱度增高、腰部、尿液输尿管、尿pH值、pH、肾内科、痛风性心肌病、肝肾综合征、小儿指甲-髌骨综合征、高钾血症、肾病
尿酸碱度降低,尿酸碱度降低、腰部、尿液输尿管、尿pH值、pH、肾内科、肝肾综合征、远端肾小管性酸中毒、小儿远端肾小管酸中毒、小儿全远端型肾小管酸中毒、肾病
尿隐血阳性,尿隐血阳性、腰部、肾、尿隐血试验、BLD、肾内科、肾病
屈光不正,屈光不正、头部、眼、近视、近视眼、眼科、五官科、睑缘炎、真性近视、视物模糊、眼疲劳、看东西有重影、视物变形
左前分支传导阻滞,左前分支传导阻滞、胸部、心脏、左前半分支阻滞、左前半阻滞、心血管内科、阿斯综合征、房内传导阻滞、心电图
左室假腱索,左室假腱索、胸部、心脏、左心室条束、心内科、心外科、室性早博、心悸、胸闷
左室增大,左室增大、胸部、心脏、心内科、心外科、肢端肥大症性心肌病、升主动脉瘤、主动脉瓣狭窄合并关闭不全、嗜铬细胞瘤、左心室恶性施万瘤
左室收缩功能减低,左室收缩功能减低、胸部、心脏、心内科
